customer_state,customer_city,customer_count,total_orders,total_gmv,avg_order_value,avg_rating
SP,sao paulo,15045,15045,2120716.57,121.02,4.17
RJ,rio de janeiro,6601,6601,1116761.96,146.25,3.91
MG,belo horizonte,2697,2697,408135.11,131.11,4.09
DF,brasilia,2071,2071,347677.11,146.89,4.05
PR,curitiba,1489,1489,239108.04,137.89,4.13
RS,porto alegre,1342,1342,215955.3,136.34,3.97
SP,campinas,1406,1406,210878.61,129.14,4.09
BA,salvador,1188,1188,208681.49,152.54,3.74
SP,guarulhos,1144,1144,158028.09,121.84,4.13
RJ,niteroi,825,825,136132.05,140.34,3.91
SP,sao bernardo do campo,911,911,117198.46,111.62,4.31
GO,goiania,660,660,114335.99,144.73,4.08
CE,fortaleza,618,618,112951.55,162.75,3.84
SP,santos,700,700,111216.96,136.46,4.1
PE,recife,593,593,105586.51,159.26,3.93
SP,santo andre,777,777,102094.84,116.55,4.27
SC,florianopolis,556,556,98450.98,150.77,3.96
PA,belem,428,428,93151.27,195.29,3.88
SP,osasco,724,724,93128.15,111.4,4.25
SP,jundiai,549,549,90458.89,140.68,4.17
SP,sao jose dos campos,667,667,86622.87,113.98,4.3
SP,sorocaba,609,609,85532.9,123.42,4.27
SP,ribeirao preto,499,499,75552.4,130.71,4.23
MG,juiz de fora,423,423,75380.84,158.7,4.16
RJ,nova iguacu,423,423,68470.1,140.6,3.72
MS,campo grande,312,312,65012.27,181.09,4.16
MA,sao luis,335,335,62262.83,164.28,3.73
ES,vitoria,373,373,61613.0,146.7,3.97
PB,joao pessoa,245,245,61232.54,211.15,4.05
RJ,sao goncalo,385,385,59563.99,140.81,3.67
PI,teresina,271,271,59212.47,201.4,3.91
MG,contagem,415,415,57425.64,119.89,3.93
SP,barueri,419,419,57150.0,121.6,4.13
SP,mogi das cruzes,374,374,56921.18,130.55,4.15
MG,uberlandia,367,367,56015.27,138.31,4.26
SP,piracicaba,356,356,55607.7,137.64,4.24
ES,vila velha,326,326,54651.49,152.23,3.9
SP,sao jose do rio preto,329,329,53296.6,141.75,4.24
PR,londrina,298,298,52959.63,160.0,4.19
AL,maceio,236,236,51696.83,205.96,3.69
SP,maua,317,317,48140.32,139.94,4.18
MT,cuiaba,243,243,45858.08,157.05,3.73
SP,bauru,263,263,44686.42,153.56,4.25
PR,maringa,260,260,44402.22,142.31,4.06
SP,praia grande,296,296,43356.67,126.77,4.13
RN,natal,203,203,42672.56,186.34,4.02
SE,aracaju,213,213,42347.44,179.44,3.9
RS,caxias do sul,220,220,41961.73,167.85,4.11
ES,serra,278,278,41646.13,135.21,3.86
SP,indaiatuba,274,274,41557.57,127.87,4.16
SC,joinville,257,257,40669.04,142.7,4.01
SP,taboao da serra,284,284,39653.62,120.9,4.08
RJ,duque de caxias,250,250,38709.64,133.02,3.76
RJ,volta redonda,227,227,38687.92,154.14,3.85
RJ,petropolis,234,234,38480.14,138.42,3.97
MG,divinopolis,132,132,38370.43,238.33,4.11
RJ,campos dos goytacazes,232,232,37738.28,150.35,3.94
SP,marilia,194,194,37259.63,179.13,4.3
RS,santa maria,193,193,37135.5,162.16,4.15
SP,carapicuiba,316,316,37089.82,100.51,4.15
RJ,macae,228,228,36822.96,140.01,3.71
SP,sao caetano do sul,272,272,36423.18,120.61,4.3
SP,taubate,260,260,34378.17,113.09,4.12
SP,sao carlos,231,231,34070.42,128.08,4.17
SP,cotia,242,242,33665.27,126.09,4.19
SP,diadema,276,276,33305.01,103.43,3.86
SP,guaruja,217,217,32717.45,129.83,4.17
MG,uberaba,186,186,32301.94,154.55,4.46
MG,betim,196,196,32175.7,148.28,4.17
RS,canoas,205,205,32097.4,136.01,4.01
BA,feira de santana,181,181,31555.9,162.66,4.07
RJ,nova friburgo,142,142,31132.65,195.8,3.78
MG,montes claros,207,207,30663.25,131.04,4.33
SP,presidente prudente,157,157,29384.67,163.25,4.09
SC,blumenau,181,181,28625.77,138.29,4.14
SP,americana,216,216,28417.25,109.72,4.2
SP,suzano,230,230,28357.14,110.77,4.22
RS,pelotas,183,183,27340.89,130.82,4.17
PR,cascavel,146,146,27148.38,155.13,3.95
SP,limeira,186,186,26119.72,118.19,4.06
MG,ipatinga,169,169,26089.81,129.8,3.88
RO,porto velho,108,108,26028.6,213.35,4.0
SP,santana de parnaiba,178,178,26008.48,126.25,4.12
AM,manaus,137,137,25625.94,165.33,4.15
SP,valinhos,181,181,25410.54,117.1,4.08
PE,jaboatao dos guararapes,131,131,25282.34,180.59,4.0
SP,franca,154,154,25275.26,131.64,3.99
SC,sao jose,167,167,24430.91,122.77,3.74
SP,sumare,178,178,24397.75,120.19,3.9
MG,pouso alegre,128,128,24327.67,165.49,4.1
SP,atibaia,154,154,23183.87,128.8,4.16
MG,nova lima,96,96,23112.18,226.59,4.04
SP,braganca paulista,144,144,22683.23,141.77,4.3
PB,campina grande,67,67,22657.35,306.18,4.21
SP,araraquara,150,150,22649.94,128.69,4.45
SP,rio claro,151,151,22510.44,125.76,4.43
SP,embu das artes,157,157,22400.92,132.55,4.22
RJ,rio das ostras,130,130,22354.96,149.03,3.67
PR,ponta grossa,141,141,21786.91,134.49,4.33
SP,sao vicente,157,157,21557.15,124.61,4.17
RJ,angra dos reis,83,83,21529.11,203.1,3.67
RJ,barra mansa,119,119,21511.39,161.74,3.89
MG,governador valadares,134,134,21475.73,146.09,4.26
SC,itajai,119,119,21456.93,168.95,4.14
SP,itaquaquecetuba,168,168,21421.83,121.03,3.95
TO,palmas,88,88,21345.83,197.65,3.94
SP,itapevi,170,170,21194.18,108.13,4.2
RS,gravatai,111,111,21131.64,179.08,4.12
SP,jacarei,189,189,20939.76,100.67,4.13
PA,ananindeua,85,85,20844.02,217.13,4.09
RJ,sao joao de meriti,124,124,20782.72,141.38,3.78
RS,novo hamburgo,121,121,20580.24,139.06,3.88
RJ,teresopolis,119,119,20266.36,157.1,3.84
MG,sete lagoas,126,126,20248.75,144.63,4.33
GO,anapolis,111,111,20029.83,158.97,4.14
ES,cariacica,135,135,19511.72,124.28,4.13
BA,vitoria da conquista,88,88,19466.15,185.39,3.91
MG,patos de minas,99,99,19359.76,186.15,4.06
ES,cachoeiro de itapemirim,121,121,19350.18,140.22,3.76
SP,aracatuba,138,138,19261.27,118.9,3.93
RS,rio grande,121,121,19068.89,147.82,4.02
SC,balneario camboriu,97,97,18971.08,166.41,4.07
SP,botucatu,100,100,18965.13,169.33,4.04
SP,paulinia,127,127,18962.76,130.78,4.22
RJ,araruama,74,74,18836.77,219.03,3.71
RJ,cabo frio,113,113,18812.18,144.71,3.65
SP,hortolandia,142,142,18413.0,118.03,3.83
MG,pocos de caldas,116,116,18309.37,126.27,4.06
MG,vicosa,87,87,18245.65,175.44,3.79
RJ,marica,133,133,18198.54,120.52,3.95
RS,passo fundo,112,112,18088.81,141.32,4.22
PR,sao jose dos pinhais,130,130,17521.99,123.39,4.09
SC,chapeco,101,101,17500.08,141.13,3.95
SP,ferraz de vasconcelos,109,109,17385.65,139.09,4.17
SP,birigui,78,78,17162.91,173.36,4.13
AC,rio branco,69,69,16823.18,218.48,4.04
RJ,mage,106,106,16751.06,130.87,4.05
SP,guaratingueta,96,96,16693.01,156.01,4.18
GO,aparecida de goiania,105,105,16558.56,141.53,3.99
RJ,resende,115,115,16300.28,120.74,3.8
PE,petrolina,62,62,16253.02,253.95,4.38
SC,criciuma,91,91,16054.82,143.35,3.7
MG,varginha,88,88,16048.47,162.11,4.39
MG,itajuba,92,92,15992.36,150.87,4.12
RJ,nilopolis,103,103,15462.98,135.64,3.81
SC,jaragua do sul,88,88,15298.04,139.07,3.9
PE,olinda,89,89,15257.97,158.94,4.02
MG,araxa,75,75,15041.84,167.13,3.71
SP,araras,93,93,15010.42,132.84,4.36
SP,santa barbara d'oeste,118,118,14980.13,110.96,4.36
MG,lavras,80,80,14790.09,159.03,3.92
MG,ribeirao das neves,98,98,14772.34,125.19,4.14
RJ,belford roxo,104,104,14686.26,127.71,3.69
SP,ourinhos,77,77,14316.78,152.31,4.07
MG,barbacena,79,79,14304.4,157.19,4.19
SP,assis,84,84,14244.77,138.3,4.58
SP,pindamonhangaba,98,98,14205.22,136.59,4.54
SP,itu,129,129,14195.91,100.68,4.26
SP,caieiras,97,97,14186.28,140.46,4.15
ES,linhares,64,64,14086.39,185.35,4.04
SP,itapetininga,77,77,14048.45,149.45,3.95
PR,foz do iguacu,86,86,13806.35,142.33,4.08
SP,itatiba,97,97,13634.01,127.42,4.03
SC,lages,83,83,13616.22,143.33,4.16
AP,macapa,53,53,13545.04,222.05,4.35
SP,caraguatatuba,83,83,13450.11,128.1,4.06
SP,sao joao da boa vista,80,80,13428.77,142.86,4.3
RS,sao leopoldo,103,103,13185.7,115.66,4.17
MG,santa luzia,89,89,13157.56,127.74,3.83
SP,mogi-guacu,89,89,13123.03,126.18,4.08
SC,palhoca,90,90,12938.05,118.7,3.96
MT,rondonopolis,64,64,12701.51,171.64,4.01
BA,barreiras,51,51,12687.51,218.75,3.82
SP,tatui,72,72,12669.55,154.51,4.32
SP,amparo,63,63,12606.72,177.56,4.48
MG,muriae,63,63,12532.07,171.67,4.49
CE,sobral,33,33,12440.17,365.89,4.03
SP,varzea paulista,75,75,12316.82,148.4,3.67
PE,caruaru,63,63,12282.07,153.53,4.33
MG,araguari,54,54,12155.32,206.02,4.36
SC,tubarao,60,60,12125.77,180.98,4.01
MG,itabira,77,77,12120.45,131.74,3.92
SP,votorantim,84,84,12085.64,123.32,4.21
RS,santa cruz do sul,62,62,11974.65,149.68,4.24
ES,guarapari,66,66,11951.82,163.72,4.06
GO,rio verde,63,63,11921.32,131.0,3.55
SP,franco da rocha,108,108,11830.23,103.77,4.08
SP,ribeirao pires,107,107,11780.63,98.17,4.15
PR,toledo,70,70,11688.66,153.8,4.05
BA,porto seguro,39,39,11671.6,233.43,3.08
SP,salto,89,89,11601.1,119.6,4.41
MS,dourados,63,63,11524.87,147.75,3.96
RS,cachoeirinha,72,72,11509.66,130.79,3.83
SP,cacapava,72,72,11488.42,136.77,4.2
SP,cajamar,97,97,11442.28,100.37,3.82
SP,itanhaem,74,74,11370.65,118.44,4.34
GO,jatai,54,54,11337.94,188.97,3.87
MG,caratinga,62,62,11211.45,157.91,4.14
SP,poa,85,85,11006.95,107.91,3.99
BA,lauro de freitas,72,72,10941.25,131.82,3.84
RJ,mesquita,75,75,10927.32,115.02,3.47
SP,catanduva,72,72,10922.03,138.25,4.08
SP,jau,73,73,10909.31,128.34,4.18
SP,bertioga,47,47,10811.32,200.21,4.02
MG,conselheiro lafaiete,82,82,10750.73,127.98,4.04
SP,sao roque,75,75,10721.19,121.83,4.57
PR,pato branco,53,53,10599.58,160.6,4.33
BA,ilheus,69,69,10500.1,132.91,3.57
SP,barretos,69,69,10439.55,130.49,4.23
SP,vinhedo,90,90,10382.01,97.03,4.16
SP,lins,54,54,10360.58,169.85,4.16
SP,mairipora,75,75,10345.67,124.65,4.48
RS,bage,62,62,10272.97,158.05,4.4
MG,paracatu,62,62,10113.1,133.07,3.95
PR,pinhais,66,66,10103.74,138.41,4.35
SP,mogi mirim,75,75,10099.18,116.08,4.29
MG,manhuacu,64,64,10066.6,129.06,4.4
MG,lagoa santa,58,58,10014.05,145.13,4.12
PR,guarapuava,62,62,9900.2,133.79,4.3
SP,pirassununga,69,69,9866.23,133.33,4.4
SP,jandira,84,84,9848.96,95.62,4.06
SP,itapecerica da serra,93,93,9846.11,94.67,4.07
MG,sao joao del rei,66,66,9744.43,133.49,4.38
SP,votuporanga,63,63,9740.19,128.16,4.59
SC,brusque,60,60,9714.82,154.2,4.35
SP,avare,63,63,9713.47,138.76,4.19
RS,lajeado,50,50,9702.17,161.7,4.17
SP,francisco morato,94,94,9688.8,92.27,4.3
SP,jaguariuna,60,60,9595.58,119.94,3.79
MG,teofilo otoni,75,75,9586.63,101.99,4.27
BA,itabuna,60,60,9544.58,142.46,4.03
BA,luis eduardo magalhaes,36,36,9538.69,221.83,3.42
SP,ubatuba,72,72,9536.95,114.9,4.06
SC,videira,44,44,9246.03,184.92,4.04
RN,parnamirim,57,57,9198.53,141.52,4.3
SP,leme,50,50,9157.01,172.77,4.17
MA,imperatriz,40,40,9144.78,207.84,3.77
SP,lorena,82,82,9137.71,98.25,4.38
MG,timoteo,52,52,9053.76,143.71,4.38
PR,colombo,60,60,9014.88,121.82,4.05
MG,itauna,56,56,9009.27,143.0,4.29
TO,araguaina,38,38,8946.12,235.42,3.97
RR,boa vista,40,40,8867.83,197.06,3.89
SP,sao sebastiao,56,56,8813.8,122.41,3.76
PR,paranagua,58,58,8778.47,131.02,3.75
SP,aruja,68,68,8763.0,113.81,4.23
BA,camacari,60,60,8722.58,117.87,3.26
MG,nova serrana,49,49,8677.6,154.96,4.05
BA,juazeiro,42,42,8643.38,183.9,3.49
PR,campo mourao,56,56,8579.69,134.06,3.95
MS,tres lagoas,42,42,8544.95,181.81,3.53
ES,colatina,63,63,8456.84,107.05,4.12
PR,francisco beltrao,50,50,8378.12,146.98,4.04
SP,fernandopolis,52,52,8366.44,146.78,4.35
SP,matao,51,51,8360.85,146.68,4.54
MG,ibirite,47,47,8317.09,173.27,4.15
MG,joao monlevade,50,50,8298.62,140.65,4.36
PR,paranavai,45,45,8254.93,147.41,4.11
SP,cubatao,79,79,8199.19,93.17,4.33
SP,boituva,47,47,8174.58,145.97,4.18
SP,peruibe,43,43,8171.08,125.71,3.69
MG,ouro preto,55,55,8149.91,127.34,4.1
RS,bento goncalves,53,53,8146.78,133.55,4.1
MG,unai,54,54,8143.63,140.41,3.98
CE,juazeiro do norte,31,31,8138.34,232.52,3.71
PR,apucarana,51,51,8112.8,135.21,4.33
MG,patrocinio,45,45,8023.55,145.88,3.84
RJ,tres rios,38,38,8014.46,205.5,3.9
MG,para de minas,37,37,7994.59,194.99,4.02
SP,itapira,52,52,7984.62,137.67,4.4
RS,viamao,70,70,7968.72,97.18,3.67
SP,mococa,33,33,7950.28,198.76,3.95
SP,sertaozinho,61,61,7910.24,106.9,4.26
RS,erechim,56,56,7900.18,125.4,3.81
MG,pirapora,42,42,7842.16,160.04,4.44
BA,paulo afonso,39,39,7842.13,174.27,4.24
MG,ponte nova,39,39,7814.78,169.89,4.13
RJ,itaborai,56,56,7783.17,129.72,3.9
MG,uba,53,53,7734.0,113.74,3.8
BA,eunapolis,36,36,7715.63,192.89,3.85
MT,sinop,43,43,7696.82,142.53,3.78
ES,sao mateus,47,47,7679.63,153.59,4.34
MT,varzea grande,37,37,7663.66,178.22,3.93
SP,cosmopolis,50,50,7645.27,131.82,4.28
SP,lencois paulista,43,43,7612.32,161.96,4.49
RJ,paracambi,35,35,7516.23,208.78,4.0
SC,navegantes,31,31,7500.85,208.36,4.5
SP,tupa,52,52,7490.94,122.8,4.31
SP,cruzeiro,56,56,7458.77,109.69,4.0
BA,alagoinhas,40,40,7428.33,172.75,4.16
BA,valenca,35,35,7406.42,200.17,4.0
RS,alvorada,50,50,7368.62,136.46,4.06
SP,itapeva,52,52,7300.21,119.68,3.84
SC,itapema,44,44,7233.42,150.7,4.27
RS,osorio,35,35,7225.75,176.24,4.29
RJ,itaguai,46,46,7202.32,153.24,4.13
SC,sao miguel do oeste,39,39,7165.3,152.45,3.83
SP,registro,45,45,7155.83,140.31,4.22
PR,arapongas,32,32,7152.49,183.4,4.21
PA,santarem,43,43,7125.51,154.9,3.07
CE,caucaia,35,35,7092.72,191.7,3.89
SP,andradina,40,40,7087.49,150.8,4.09
PE,paulista,41,41,7076.62,144.42,3.41
SP,embu-guacu,46,46,7062.82,123.91,3.96
RJ,queimados,53,53,7048.55,108.44,4.02
RS,esteio,39,39,6986.45,158.78,3.91
MG,guaxupe,37,37,6967.0,169.93,4.05
RS,ijui,52,52,6870.16,104.09,3.95
MG,vespasiano,41,41,6842.38,148.75,3.83
GO,catalao,33,33,6832.14,158.89,3.58
SP,jaboticabal,50,50,6776.97,121.02,4.02
MG,ituiutaba,53,53,6769.22,107.45,4.54
GO,valparaiso de goias,37,37,6761.45,153.67,4.02
SC,concordia,47,47,6730.95,110.34,4.15
SP,artur nogueira,40,40,6723.88,140.08,4.17
RJ,itaperuna,46,46,6698.12,124.04,3.89
CE,maracanau,31,31,6696.42,159.44,3.43
PR,umuarama,40,40,6603.01,165.08,3.93
MG,alfenas,43,43,6539.45,123.39,3.91
GO,itumbiara,35,35,6489.09,144.2,4.22
RS,santo angelo,45,45,6448.63,119.42,4.19
MG,curvelo,42,42,6406.88,130.75,3.47
RS,sapucaia do sul,39,39,6392.7,136.01,3.77
SP,olimpia,36,36,6365.15,159.13,4.2
PR,araucaria,54,54,6255.87,96.24,3.66
RN,mossoro,35,35,6244.01,164.32,3.92
GO,caldas novas,36,36,6204.57,147.73,3.69
SP,bebedouro,51,51,6140.51,102.34,4.32
RS,guaiba,31,31,6139.13,165.92,4.11
GO,formosa,34,34,6124.12,157.03,3.74
SP,adamantina,35,35,6108.5,165.09,3.95
SC,sao bento do sul,44,44,6105.45,129.9,4.38
SP,itupeva,42,42,6039.66,102.37,3.24
SP,mongagua,41,41,6027.55,133.95,4.04
RJ,barra do pirai,49,49,6015.99,120.32,4.12
PR,cianorte,39,39,6009.12,133.54,4.3
SP,sao jose do rio pardo,44,44,5971.05,117.08,3.57
MG,pedro leopoldo,40,40,5875.05,117.5,4.48
BA,jequie,34,34,5766.87,160.19,4.06
RJ,sao pedro da aldeia,46,46,5712.97,114.26,3.92
RJ,saquarema,45,45,5698.94,109.6,4.18
SC,rio do sul,35,35,5695.13,132.44,3.6
RJ,japeri,34,34,5682.82,126.28,3.84
RS,montenegro,32,32,5679.52,162.27,4.41
RS,capao da canoa,38,38,5629.08,125.09,4.02
GO,luziania,33,33,5608.51,155.79,4.19
SP,louveira,44,44,5596.56,121.66,4.24
SP,campo limpo paulista,47,47,5581.77,111.64,4.4
MG,bom despacho,38,38,5554.6,129.18,4.02
SP,penapolis,37,37,5549.26,115.61,4.08
RS,uruguaiana,47,47,5537.17,100.68,4.53
MG,sao sebastiao do paraiso,35,35,5509.71,148.91,4.11
MG,tres coracoes,41,41,5476.22,105.31,3.9
SC,cacador,40,40,5469.62,130.23,4.29
SP,tremembe,38,38,5462.7,136.57,4.25
PR,telemaco borba,34,34,5458.21,147.52,4.14
SP,vargem grande paulista,43,43,5368.16,111.84,4.19
BA,guanambi,36,36,5367.47,137.63,3.9
MG,ouro branco,41,41,5344.04,116.17,4.04
MG,sabara,42,42,5334.36,121.24,4.12
RJ,vassouras,36,36,5309.87,118.0,3.88
RS,alegrete,35,35,5296.24,132.41,4.0
PR,almirante tamandare,35,35,5295.48,135.78,4.1
RJ,seropedica,33,33,5256.35,128.2,3.75
SP,capivari,32,32,5252.81,159.18,4.39
SP,taquaritinga,33,33,5237.07,141.54,4.51
MG,extrema,39,39,5224.88,124.4,3.88
MG,mariana,33,33,5212.95,153.32,3.85
MG,passos,43,43,5189.81,112.82,4.13
MG,cataguases,32,32,5139.96,146.86,4.23
RS,campo bom,35,35,5137.1,125.3,3.85
ES,aracruz,40,40,5102.98,121.5,3.64
SP,nova odessa,37,37,5060.27,115.01,4.55
SP,monte mor,38,38,5039.0,122.9,3.76
MG,sao lourenco,32,32,5034.12,129.08,3.82
MG,formiga,32,32,5033.34,148.04,3.97
SP,sao joaquim da barra,34,34,4952.04,120.78,4.05
MG,coronel fabriciano,40,40,4906.87,116.83,4.0
MG,santa rita do sapucai,35,35,4814.63,123.45,3.9
SP,tiete,35,35,4792.73,114.11,3.81
SP,promissao,31,31,4728.07,152.52,4.48
PR,campo largo,36,36,4665.79,111.09,4.17
SP,santa fe do sul,34,34,4605.21,135.45,4.29
SP,guaira,36,36,4423.03,100.52,3.95
SP,ibiuna,31,31,4009.93,111.39,4.26
SP,ilhabela,44,44,3989.88,81.43,4.18
RS,santa rosa,32,32,3685.24,102.37,4.31
SC,imbituba,31,31,3587.74,108.72,4.53
PE,camaragibe,33,33,3455.49,101.63,4.15
SP,pedreira,36,36,3391.29,86.96,3.97
SP,santa cruz do rio pardo,34,34,3126.23,84.49,4.81
SP,monte alto,32,32,2854.43,86.5,4.67
