year,month,day_of_week,order_count,total_revenue,avg_order_value,unique_customers
2016.0,9.0,4.0,1,134.97,44.99,1
2016.0,10.0,0.0,20,2399.7,92.3,20
2016.0,10.0,1.0,41,3601.55,81.85,41
2016.0,10.0,2.0,54,8595.89,136.44,54
2016.0,10.0,3.0,35,6169.77,128.54,35
2016.0,10.0,4.0,41,5889.96,125.32,41
2016.0,10.0,5.0,38,6075.35,138.08,38
2016.0,10.0,6.0,36,7592.89,185.19,36
2016.0,12.0,5.0,1,10.9,10.9,1
2017.0,1.0,0.0,80,12235.38,119.95,80
2017.0,1.0,1.0,107,20489.18,134.8,107
2017.0,1.0,2.0,140,20369.33,123.45,140
2017.0,1.0,3.0,97,12186.71,116.06,97
2017.0,1.0,4.0,155,18337.41,103.02,155
2017.0,1.0,5.0,101,18581.84,146.31,101
2017.0,1.0,6.0,70,9598.51,114.27,70
2017.0,2.0,0.0,214,32026.56,135.71,214
2017.0,2.0,1.0,252,32456.64,112.7,252
2017.0,2.0,2.0,266,43315.03,142.48,266
2017.0,2.0,3.0,253,31552.05,115.58,253
2017.0,2.0,4.0,246,29879.73,108.26,246
2017.0,2.0,5.0,222,36215.54,142.58,222
2017.0,2.0,6.0,200,28777.85,126.77,200
2017.0,3.0,0.0,249,25909.49,94.56,249
2017.0,3.0,1.0,418,58016.76,126.12,418
2017.0,3.0,2.0,361,48055.56,114.97,361
2017.0,3.0,3.0,443,62059.54,121.45,443
2017.0,3.0,4.0,431,62145.17,120.44,431
2017.0,3.0,5.0,364,58456.37,143.28,364
2017.0,3.0,6.0,280,44555.96,143.73,280
2017.0,4.0,0.0,329,39627.11,110.69,329
2017.0,4.0,1.0,320,40680.52,114.27,320
2017.0,4.0,2.0,346,54308.44,138.9,346
2017.0,4.0,3.0,369,53239.72,130.81,369
2017.0,4.0,4.0,318,50644.49,138.0,318
2017.0,4.0,5.0,290,43648.74,134.3,290
2017.0,4.0,6.0,331,58520.66,160.33,331
2017.0,5.0,0.0,453,56993.21,113.53,453
2017.0,5.0,1.0,676,86979.59,113.4,676
2017.0,5.0,2.0,609,89626.15,127.67,609
2017.0,5.0,3.0,607,91155.49,135.65,607
2017.0,5.0,4.0,458,64842.26,127.14,458
2017.0,5.0,5.0,426,53180.17,109.2,426
2017.0,5.0,6.0,317,46561.38,127.92,317
2017.0,6.0,0.0,396,60514.77,140.08,396
2017.0,6.0,1.0,482,72694.25,130.51,482
2017.0,6.0,2.0,479,54703.39,101.3,479
2017.0,6.0,3.0,401,53422.21,122.53,401
2017.0,6.0,4.0,553,70374.75,114.62,553
2017.0,6.0,5.0,518,72668.22,127.49,518
2017.0,6.0,6.0,306,37545.78,110.43,306
2017.0,7.0,0.0,512,55918.72,95.75,512
2017.0,7.0,1.0,713,89038.18,109.92,713
2017.0,7.0,2.0,611,79079.68,114.11,611
2017.0,7.0,3.0,548,66075.9,104.72,548
2017.0,7.0,4.0,531,68553.4,113.31,531
2017.0,7.0,5.0,504,63862.36,110.87,504
2017.0,7.0,6.0,453,59076.28,114.27,453
2017.0,8.0,0.0,413,50913.77,105.85,413
2017.0,8.0,1.0,632,83962.89,115.18,632
2017.0,8.0,2.0,763,112603.13,131.85,763
2017.0,8.0,3.0,739,103376.71,118.01,739
2017.0,8.0,4.0,717,88999.55,109.47,717
2017.0,8.0,5.0,530,68025.66,113.19,530
2017.0,8.0,6.0,399,46817.99,105.68,399
2017.0,9.0,0.0,492,77660.19,141.72,492
2017.0,9.0,1.0,631,92739.45,129.71,631
2017.0,9.0,2.0,674,87824.58,112.16,674
2017.0,9.0,3.0,643,94824.96,128.32,643
2017.0,9.0,4.0,544,80327.48,127.1,544
2017.0,9.0,5.0,650,101215.55,136.04,650
2017.0,9.0,6.0,516,72807.46,126.4,516
2017.0,10.0,0.0,646,89439.58,119.73,646
2017.0,10.0,1.0,805,121523.2,129.01,805
2017.0,10.0,2.0,881,128490.95,122.72,881
2017.0,10.0,3.0,635,84363.23,114.78,635
2017.0,10.0,4.0,586,87585.78,126.75,586
2017.0,10.0,5.0,522,78076.44,130.13,522
2017.0,10.0,6.0,403,58768.47,130.02,403
2017.0,11.0,0.0,846,102810.67,106.32,846
2017.0,11.0,1.0,993,142109.08,123.47,993
2017.0,11.0,2.0,932,127550.27,119.54,932
2017.0,11.0,3.0,957,123594.35,110.65,957
2017.0,11.0,4.0,1046,146995.2,120.19,1046
2017.0,11.0,5.0,1629,220261.48,114.84,1629
2017.0,11.0,6.0,886,124444.32,120.59,886
2017.0,12.0,0.0,669,85757.6,115.73,669
2017.0,12.0,1.0,875,116886.33,120.13,875
2017.0,12.0,2.0,858,106455.68,108.41,858
2017.0,12.0,3.0,816,111650.57,118.4,816
2017.0,12.0,4.0,701,85486.75,110.73,701
2017.0,12.0,5.0,902,124507.39,123.03,902
2017.0,12.0,6.0,692,95288.87,124.72,692
2018.0,1.0,0.0,758,103269.63,124.12,758
2018.0,1.0,1.0,1206,148971.25,108.82,1206
2018.0,1.0,2.0,1246,159771.84,110.34,1246
2018.0,1.0,3.0,1254,166906.01,119.82,1254
2018.0,1.0,4.0,970,130292.47,118.23,970
2018.0,1.0,5.0,879,116820.53,113.86,879
2018.0,1.0,6.0,756,98613.27,113.74,756
2018.0,2.0,0.0,792,98060.75,109.81,792
2018.0,2.0,1.0,1020,129647.18,110.71,1020
2018.0,2.0,2.0,1055,132790.2,108.49,1055
2018.0,2.0,3.0,1092,143367.71,113.33,1092
2018.0,2.0,4.0,990,118059.6,101.43,990
2018.0,2.0,5.0,857,112452.59,115.22,857
2018.0,2.0,6.0,749,92059.1,111.59,749
2018.0,3.0,0.0,842,117919.26,126.66,842
2018.0,3.0,1.0,1039,145332.86,118.06,1039
2018.0,3.0,2.0,1016,141304.87,119.14,1016
2018.0,3.0,3.0,936,123971.44,117.51,936
2018.0,3.0,4.0,1204,166864.1,119.7,1204
2018.0,3.0,5.0,1073,139078.55,113.07,1073
2018.0,3.0,6.0,893,118885.17,120.09,893
2018.0,4.0,0.0,970,128265.63,115.87,970
2018.0,4.0,1.0,1318,200276.6,130.56,1318
2018.0,4.0,2.0,962,139520.48,125.69,962
2018.0,4.0,3.0,1064,153877.63,128.23,1064
2018.0,4.0,4.0,1051,143729.12,117.23,1051
2018.0,4.0,5.0,807,122862.56,130.01,807
2018.0,4.0,6.0,626,85002.07,120.57,626
2018.0,5.0,0.0,669,90690.9,116.27,669
2018.0,5.0,1.0,1059,156607.79,128.9,1059
2018.0,5.0,2.0,1267,173521.49,118.36,1267
2018.0,5.0,3.0,1243,170817.94,120.38,1243
2018.0,5.0,4.0,1042,165886.92,137.32,1042
2018.0,5.0,5.0,841,123606.8,124.98,841
2018.0,5.0,6.0,628,96412.85,131.53,628
2018.0,6.0,0.0,728,94999.23,115.01,728
2018.0,6.0,1.0,997,146949.73,128.12,997
2018.0,6.0,2.0,906,135315.17,126.7,906
2018.0,6.0,3.0,910,115145.71,107.71,910
2018.0,6.0,4.0,905,122666.68,119.33,905
2018.0,6.0,5.0,909,129618.51,124.04,909
2018.0,6.0,6.0,744,111382.83,134.68,744
2018.0,7.0,0.0,820,122825.8,132.07,820
2018.0,7.0,1.0,1153,149126.54,117.33,1153
2018.0,7.0,2.0,1136,158469.26,122.84,1136
2018.0,7.0,3.0,940,133913.03,123.76,940
2018.0,7.0,4.0,803,121213.23,133.49,803
2018.0,7.0,5.0,720,106386.92,130.22,720
2018.0,7.0,6.0,587,76018.68,114.31,587
2018.0,8.0,0.0,737,97410.11,116.94,737
2018.0,8.0,1.0,964,130816.04,119.9,964
2018.0,8.0,2.0,941,120593.13,114.09,941
2018.0,8.0,3.0,1094,149863.03,120.57,1094
2018.0,8.0,4.0,1030,129691.47,112.09,1030
2018.0,8.0,5.0,902,114883.65,114.54,902
2018.0,8.0,6.0,683,95319.21,125.75,683
